Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-05,169.0800018310547,170.86000061035156,160.50999450683594,164.89999389648438,141250700,0.0,0.0
2024-04-08,169.33999633789062,174.5,167.7899932861328,172.97999572753906,104423300,0.0,0.0
2024-04-09,172.91000366210938,179.22000122070312,171.9199981689453,176.8800048828125,103232700,0.0,0.0
2024-04-10,173.0399932861328,174.92999267578125,170.00999450683594,171.75999450683594,84532400,0.0,0.0
2024-04-11,172.5500030517578,175.8800048828125,168.50999450683594,174.60000610351562,94516000,0.0,0.0
2024-04-12,172.33999633789062,173.80999755859375,170.36000061035156,171.0500030517578,64506600,0.0,0.0
2024-04-15,170.24000549316406,170.69000244140625,161.3800048828125,161.47999572753906,100245300,0.0,0.0
2024-04-16,156.74000549316406,158.19000244140625,153.75,157.11000061035156,97000000,0.0,0.0
2024-04-17,157.63999938964844,158.3300018310547,153.77999877929688,155.4499969482422,82439700,0.0,0.0
2024-04-18,151.25,152.1999969482422,148.6999969482422,149.92999267578125,96098800,0.0,0.0
2024-04-19,148.97000122070312,150.94000244140625,146.22000122070312,147.0500030517578,86005100,0.0,0.0
2024-04-22,140.55999755859375,144.44000244140625,138.8000030517578,142.0500030517578,107097600,0.0,0.0
2024-04-23,143.3300018310547,147.25999450683594,141.11000061035156,144.67999267578125,124545100,0.0,0.0
2024-04-24,162.83999633789062,167.97000122070312,157.50999450683594,162.1300048828125,181178000,0.0,0.0
2024-04-25,158.9600067138672,170.8800048828125,158.36000061035156,170.17999267578125,126427500,0.0,0.0
2024-04-26,168.85000610351562,172.1199951171875,166.3699951171875,168.2899932861328,109815700,0.0,0.0
2024-04-29,188.4199981689453,198.8699951171875,184.5399932861328,194.0500030517578,243869700,0.0,0.0
2024-04-30,186.97999572753903,190.9499969482422,182.83999633789065,183.27999877929688,127031800,0.0,0.0
2024-05-01,182.0,185.8600006103516,179.00999450683594,179.99000549316406,92829700,0.0,0.0
2024-05-02,182.8600006103516,184.6000061035156,176.02000427246094,180.00999450683594,89148000,0.0,0.0
2024-05-03,182.1000061035156,184.77999877929688,178.4199981689453,181.19000244140625,75491500,0.0,0.0
2024-05-06,183.8000030517578,187.55999755859372,182.1999969482422,184.75999450683597,84390300,0.0,0.0
2024-05-07,182.3999938964844,183.25999450683597,177.39999389648438,177.80999755859375,75045900,0.0,0.0
2024-05-08,171.58999633789062,176.05999755859375,170.14999389648438,174.72000122070312,79969500,0.0,0.0
2024-05-09,175.00999450683594,175.6199951171875,171.3699951171875,171.97000122070312,65950300,0.0,0.0
2024-05-10,173.0500030517578,173.05999755859375,167.75,168.47000122070312,72627200,0.0,0.0
2024-05-13,170.0,175.39999389648438,169.0,171.88999938964844,67018900,0.0,0.0
2024-05-14,174.5,179.49000549316406,174.07000732421875,177.5500030517578,86407400,0.0,0.0
2024-05-15,179.89999389648438,180.0,173.11000061035156,173.99000549316406,79663000,0.0,0.0
2024-05-16,174.10000610351562,175.7899932861328,171.42999267578125,174.83999633789062,59812200,0.0,0.0
2024-05-17,173.5500030517578,179.6300048828125,172.75,177.4600067138672,77445800,0.0,0.0
2024-05-20,177.55999755859375,177.75,173.52000427246094,174.9499969482422,61727400,0.0,0.0
2024-05-21,175.50999450683594,186.8800048828125,174.7100067138672,186.6000061035156,115266500,0.0,0.0
2024-05-22,182.8500061035156,183.8000030517578,178.1199951171875,180.11000061035156,88313500,0.0,0.0
2024-05-23,181.8000030517578,181.8999938964844,173.25999450683594,173.74000549316406,71975500,0.0,0.0
2024-05-24,174.83999633789062,180.0800018310547,173.72999572753906,179.24000549316406,65479700,0.0,0.0
2024-05-28,176.39999389648438,178.25,173.16000366210938,176.75,59736600,0.0,0.0
2024-05-29,174.19000244140625,178.14999389648438,173.92999267578125,176.19000244140625,54782600,0.0,0.0
2024-05-30,178.5800018310547,182.6699981689453,175.3800048828125,178.7899932861328,77784800,0.0,0.0
2024-05-31,178.5,180.32000732421875,173.82000732421875,178.0800018310547,67314600,0.0,0.0
2024-06-03,178.1300048828125,182.63999938964844,174.49000549316406,176.2899932861328,68568900,0.0,0.0
2024-06-04,174.77999877929688,177.75999450683594,174.0,174.77000427246094,60056300,0.0,0.0
2024-06-05,175.35000610351562,176.14999389648438,172.1300048828125,175.0,57953800,0.0,0.0
2024-06-06,174.60000610351562,179.72999572753906,172.72999572753906,177.94000244140625,69887000,0.0,0.0
2024-06-07,176.1300048828125,179.35000610351562,175.5800018310547,177.47999572753906,56244900,0.0,0.0
2024-06-10,176.05999755859375,178.57000732421875,173.1699981689453,173.7899932861328,50869700,0.0,0.0
2024-06-11,173.9199981689453,174.75,167.41000366210938,170.66000366210938,64761900,0.0,0.0
2024-06-12,171.1199951171875,180.5500030517578,169.8000030517578,177.2899932861328,90389400,0.0,0.0
2024-06-13,188.38999938964844,191.0800018310547,181.22999572753903,182.47000122070312,118984100,0.0,0.0
2024-06-14,185.8000030517578,186.0,176.9199981689453,178.00999450683594,82038200,0.0,0.0
2024-06-17,177.9199981689453,188.80999755859372,177.0,187.44000244140625,109786100,0.0,0.0
2024-06-18,186.55999755859372,187.1999969482422,182.3699951171875,184.8600006103516,68982300,0.0,0.0
2024-06-20,184.67999267578125,185.2100067138672,179.66000366210938,181.57000732421875,55893100,0.0,0.0
2024-06-21,182.3000030517578,183.9499969482422,180.69000244140625,183.00999450683597,63029500,0.0,0.0
2024-06-24,184.97000122070312,188.8000030517578,182.5500030517578,182.5800018310547,61992100,0.0,0.0
2024-06-25,184.3999938964844,187.97000122070312,182.00999450683597,187.3500061035156,63678300,0.0,0.0
2024-06-26,186.5399932861328,197.75999450683597,186.3600006103516,196.3699951171875,95737100,0.0,0.0
2024-06-27,195.1699981689453,198.72000122070312,194.0500030517578,197.4199981689453,72746500,0.0,0.0
2024-06-28,199.5500030517578,203.1999969482422,195.25999450683597,197.8800048828125,95438100,0.0,0.0
2024-07-01,201.0200042724609,213.22999572753903,200.8500061035156,209.8600006103516,135691400,0.0,0.0
2024-07-02,218.88999938964844,231.3000030517578,218.05999755859372,231.25999450683597,205047900,0.0,0.0
2024-07-03,234.55999755859372,248.3500061035156,234.25,246.38999938964844,166561500,0.0,0.0
2024-07-05,249.80999755859372,252.3699951171875,242.4600067138672,251.5200042724609,154501200,0.0,0.0
2024-07-08,247.7100067138672,259.44000244140625,244.57000732421875,252.94000244140625,157219600,0.0,0.0
2024-07-09,251.0,265.6099853515625,250.3000030517578,262.3299865722656,160210900,0.0,0.0
2024-07-10,262.79998779296875,267.5899963378906,257.8599853515625,263.260009765625,128519400,0.0,0.0
2024-07-11,263.29998779296875,271.0,239.6499938964844,241.02999877929688,221707300,0.0,0.0
2024-07-12,235.8000030517578,251.83999633789065,233.08999633789065,248.22999572753903,155955800,0.0,0.0
2024-07-15,255.97000122070312,265.6000061035156,251.72999572753903,252.63999938964844,146912900,0.0,0.0
